gene_symbol,log2FoldChange,pvalue
Gm5590,0.009249446,0.99999707
Igkv5-39,0.032514738,0.99999707
Gm11696,-0.074461775,0.99999707
Gm5648,0.022526981,0.99999707
Gm9436,-0.115203898,0.851306679
Ints7,-0.006825529,0.99999707
Zfp990,0.04136804,0.99999707
Gm2796,0.059029083,0.99999707
Dll1,-0.008437172,0.99999707
Klhl10,0.014846796,0.99999707
BC052040,-0.109474111,0.95352173
Gm14239,-0.169431703,0.705273651
Gm26977,-0.28918409,0.075623666
Zscan2,0.020919896,0.99999707
Gm15654,-0.01469644,0.99999707
Dbf4,-0.080932502,0.99999707
Gm18665,-0.105723301,0.99999707
D2Bwg1423e,-0.093776389,0.99999707
Cmya5,-0.043496176,0.99999707
Txndc5,0.194000426,0.450872035
Aicda,-0.283471394,0.032236258
Gm37307,0.056656093,0.99999707
Tnfsf11,0.088457087,0.99999707
Oma1,0.03296171,0.99999707
Ssh2,-0.124199939,0.99999707
Rbm6-ps1,-0.021283544,0.99999707
Slc38a11,-0.018557784,0.99999707
Tubb4b-ps2,-0.007773392,0.99999707
1700040D17Rik,0.039733214,0.99999707
Ift22,0.031708071,0.99999707
Gm10252,0.018603496,0.99999707
Gm15349,-0.041452121,0.99999707
Snx10,-0.038233466,0.99999707
Rfc4,-0.003231737,0.99999707
Zfp607a,-0.012029318,0.99999707
Rnu5g,0.03865743,0.99999707
Ppfibp2,-0.10244876,0.99999707
Tspan4,-0.022994373,0.99999707
Gm43059,0.028138418,0.99999707
Gm16510,0.097545165,0.99999707
Zfp808,-0.08679053,0.99999707
Zfp605,-0.008291975,0.99999707
Tcerg1,0.131684966,0.63091191
Bnip3,0.00727372,0.99999707
1600010M07Rik,0.141665101,0.891851681
Tle2,-0.018611995,0.99999707
Neb,0.111182323,0.980699013
Cnot4,-0.028418585,0.99999707
Stx11,0.063233561,0.99999707
Slc38a10,-0.023548632,0.99999707
Gm8430,-0.028458375,0.99999707
Rhoq,-0.020133575,0.99999707
Zfp266,0.054251481,0.99999707
Prps2,-0.079656611,0.99999707
Rad54b,-0.029784489,0.99999707
Ephb2,0.047341343,0.99999707
Plvap,0.036304086,0.99999707
Chat,-0.054465894,0.99999707
Gm44366,-0.047792968,0.99999707
Ak9,-0.104305149,0.969862288
Aif1l,-0.0650744,0.99999707
Rrs1,-0.027841892,0.99999707
Atic,0.007928165,0.99999707
Adrm1,0.123987079,0.841492314
Gm7222,0.023600652,0.99999707
Rps26-ps1,0.033561671,0.99999707
Ighv1-34,-0.010126416,0.99999707
Ighv6-6,0.047852736,0.99999707
Bora,-0.083262282,0.99999707
Chkb,-0.076937137,0.790935245
Gm22888,-0.005395719,0.99999707
Sh3tc1,0.064111323,0.99999707
Llgl2,-0.052806162,0.99999707
Plppr2,-0.033939487,0.99999707
Trpm2,-0.09949555,0.99999707
Pdzd9,-0.037020281,0.99999707
Rps24-ps3,-0.009301952,0.99999707
Gprasp2,0.057819824,0.99999707
Gm15445,0.062607334,0.99999707
Rab11b,-0.096838746,0.99999707
Kif15,0.091171851,0.99999707
Gm15506,0.019356397,0.99999707
Insl3,-0.030399487,0.99999707
Ndufb2,0.053280328,0.99999707
Lrrn3,0.016317595,0.99999707
Gm5837,0.000916991,0.99999707
Gm44292,-0.144763807,0.390519737
1700094J05Rik,0.082641185,0.99999707
Padi3,-0.123981195,0.52751236
Rnasel,0.061047139,0.99999707
Cd276,-0.016063506,0.99999707
Gm6463,-0.016315806,0.99999707
Ubqln4,-0.016360334,0.99999707
Gm10125,-0.002539627,0.99999707
Oas2,-0.226356089,0.319644524
Gm28513,-0.096817338,0.99999707
Kcns1,0.044301845,0.99999707
Gm14082,-0.094856445,0.979942677
Gm20402,-0.025504402,0.99999707
Gm7241,0.453116312,0.000147454
Gm15522,0.011949821,0.99999707
Gm13244,-0.042233084,0.99999707
Tnfrsf9,0.046350559,0.99999707
1700029I15Rik,0.076611135,0.825316374
Gm16433,0.033841251,0.99999707
Gm5884,-0.114593774,0.938853748
Bdh1,0.062285668,0.99999707
4930428O21Rik,-0.012831011,0.99999707
Adra2b,0.011735372,0.99999707
Abcd1,0.033049375,0.99999707
Gm4924,-0.03418521,0.99999707
Gm21963,-0.014661351,0.99999707
Gm44639,-0.006524144,0.99999707
Gm44037,0.115139686,0.695964497
Gm43009,0.030360611,0.99999707
Mrs2,-0.031989067,0.99999707
Gm37776,0.005281797,0.99999707
Tada3,-0.09142861,0.99999707
4930529C04Rik,-0.071178353,0.99999707
Ubl5,-0.013886084,0.99999707
C1qtnf4,-0.059255929,0.99999707
Rad21,-0.088375406,0.878695171
Tbc1d10a,-0.064064417,0.99999707
Gm44771,0.027166299,0.99999707
Gpx4,-0.087866511,0.977784437
Nlrc3,-0.056212069,0.99999707
Pbk,0.011816986,0.99999707
Sfmbt2,-0.146221184,0.310526313
Hdac1,0.039546641,0.99999707
Abhd2,0.011735257,0.99999707
Sla2,0.042707875,0.99999707
Ulbp1,-0.04517151,0.99999707
Psma2,-0.080961842,0.99999707
Gm12500,-0.008713586,0.99999707
Gm10548,-0.038942282,0.99999707
Mrpl32,-0.033437082,0.99999707
Cryab,0.049130852,0.99999707
Dhdds,0.114559124,0.681360384
Tmem110,0.080112351,0.99999707
Zscan21,-0.082000074,0.99999707
9530062K07Rik,0.170383141,0.681360384
Agpat9,-0.082917922,0.99999707
Vav2,0.08224981,0.99999707
RP23-288C18.3,0.033298106,0.99999707
Gm3272,-0.051439271,0.99999707
Adgrg1,-0.139277693,0.73724682
Ltv1,0.075270105,0.99999707
Gm6263,-0.034358603,0.99999707
Tle6,-0.045986267,0.99999707
Zfp963,-0.012101334,0.99999707
Alox15,-0.055086791,0.99999707
Fbrs,0.019727867,0.99999707
Gm10290,-0.081679187,0.99999707
Golga4,-0.087350866,0.99999707
Gfra4,0.060957762,0.99999707
Cks1brt,-0.131887107,0.568352854
Nr1d1,-0.002189719,0.99999707
Khk,-0.039416484,0.99999707
Ddx59,0.01122972,0.99999707
Spred3,0.068260297,0.99999707
Smc1b,0.054399468,0.99999707
Mrto4,-0.120156477,0.775972094
Gm6419,0.054453509,0.99999707
Ythdf2,0.061218824,0.99999707
Gm43457,0.067213635,0.99999707
Gm26892,-0.021492094,0.99999707
Gm12443,-0.020532705,0.99999707
Gm5257,-0.022469388,0.99999707
Gm37033,-0.128768019,0.913138075
Pitpnm3,0.010347512,0.99999707
