gene_symbol,log2FoldChange,pvalue
Gm26710,0.006610539,0.99999707
Zfp960,0.037511847,0.99999707
Sdccag8,0.069751092,0.99999707
Chchd2,-0.063814888,0.99999707
Raf1,-0.01501597,0.99999707
Caprin1,0.061772428,0.99999707
Gm11524,0.075523739,0.99999707
Gm5121,-0.001643006,0.99999707
Cd33,0.007051245,0.99999707
Sharpin,0.005971338,0.99999707
Mob3a,0.037483709,0.99999707
Gm13840,0.042826374,0.99999707
Vav3,0.000871145,0.99999707
Fam3a,-0.20505969,0.460312727
Zpbp,0.008498513,0.99999707
Gm14530,-0.0764018,0.99999707
Ifngr1,0.061797091,0.99999707
Dclre1c,0.033877457,0.99999707
Pid1,0.079655824,0.99999707
9130019P16Rik,-0.063405384,0.99999707
H3f3a-ps2,0.044384667,0.99999707
Sod2,-0.104539048,0.967650314
Mir3535,0.074443861,0.99999707
Gm26968,0.012796982,0.99999707
C330018D20Rik,0.046770626,0.99999707
Gm8837,-0.052576601,0.99999707
Kif22,-0.030697859,0.99999707
Ssh3,0.078346552,0.99999707
BC049715,0.014205613,0.99999707
Gm12059,-0.171423979,0.583920039
Prr19,-0.032998738,0.99999707
Lox,0.010493325,0.99999707
Gm5644,-0.12485037,0.99999707
Rfwd3,0.009892663,0.99999707
Dapk2,0.012990889,0.99999707
Dazl,0.014701333,0.99999707
Nme6,0.089962544,0.99999707
Gm3809,0.056142279,0.99999707
Gm44509,0.058815857,0.99999707
Extl2,0.125994675,0.817087522
Gm9372,-0.051365827,0.99999707
Tagap1,0.002407471,0.99999707
Arfip2,-0.089425829,0.99999707
Gm37568,0.046238508,0.99999707
Nsg2,0.069489682,0.99999707
Gm43775,0.024152415,0.99999707
Gbp9,0.216185042,0.299730183
Usf3,0.016690654,0.99999707
Gm20544,-0.167391048,0.63091191
Gm38387,0.042695806,0.99999707
Gm14001,-0.07128776,0.99999707
Gm15510,0.19285751,0.168956864
Manea,-0.031998308,0.99999707
Nxnl2,-0.046777037,0.99999707
Chd4,0.051077318,0.99999707
Rpl10a-ps1,-0.01757618,0.99999707
Ctrl,0.069340621,0.99999707
Xdh,0.183461075,0.10607515
Dctd,-0.121967246,0.967481912
Podxl,-0.012318135,0.99999707
Rps2-ps10,0.024513435,0.99999707
Clic3,0.027739294,0.99999707
Gm13418,-0.26203171,0.121319358
Syt15,-0.073487105,0.99999707
Gm29261,-0.025963596,0.99999707
Gm44745,-0.096463898,0.99999707
Gm14328,0.083555207,0.99999707
Dcbld2,-0.065288056,0.99999707
Tm9sf4,0.061420331,0.99999707
5330411O13Rik,-0.088660697,0.99999707
Airn,0.040945348,0.99999707
Gm45412,-0.090402477,0.99999707
Zfp1,-0.225166893,0.316413337
Mrps10,-0.118213244,0.99999707
Agbl1,-0.005264485,0.99999707
Zgpat,-0.078927864,0.99999707
Selenoi,0.038376585,0.99999707
Rrp36,0.064638689,0.99999707
Scaf11,0.053821278,0.99999707
Gm4874,-0.012966943,0.99999707
Pcdh19,-0.264968703,0.142680771
Gzma,0.010685974,0.99999707
Mtcp1,0.04079867,0.99999707
Gm12749,-0.001414295,0.99999707
Xkrx,0.031393934,0.99999707
Myo1g,-0.130520096,0.900884367
Gm24265,-0.033790815,0.99999707
Gm45109,-0.006058382,0.99999707
Fpgs,-0.013663344,0.99999707
Gm42633,0.040234361,0.99999707
Chac1,0.019385152,0.99999707
Gm37276,-0.031258535,0.99999707
Atp5l,0.050400663,0.99999707
Fgf13,0.031538078,0.99999707
Gm19680,-0.101364067,0.994998652
Per1,-0.123431464,0.99999707
Paip1,0.035499749,0.99999707
Gm23205,-0.005190823,0.99999707
Gm43364,-0.058476152,0.99999707
Mtap,-0.056526632,0.99999707
Zfp608,0.008930692,0.99999707
Ephx3,-0.037617948,0.99999707
Baz1b,0.018591911,0.99999707
Zfp566,-0.05210692,0.99999707
Tmem116,-0.078566432,0.99999707
Phax,0.264650995,0.148913389
Srr,-0.09208725,0.99999707
Cuta,-0.001834105,0.99999707
1500011K16Rik,0.089846238,0.99999707
Hnrnpdl,0.074796828,0.99999707
Plxnc1,0.068780465,0.99999707
Gm9381,0.001709553,0.99999707
Calr,-0.09173076,0.99999707
Gm14336,-0.296220658,0.059039069
Adgrg7,0.232316118,0.297589169
Gm45289,0.041270554,0.99999707
Car2,0.066411089,0.99999707
Gm44967,-0.084681338,0.99999707
Lrba,-0.032018172,0.99999707
Lancl1,-0.063787952,0.99999707
Gm19774,-0.102680334,0.99999707
Pex5,0.034881438,0.99999707
Gm38062,-0.16243244,0.488476933
Mical1,0.005533562,0.99999707
Lypla1,0.000108565,0.99999707
Tmem238,-0.206409129,0.389333958
Pstpip2,-0.120772199,0.846795014
Hcfc1,0.030106974,0.99999707
Atg5,0.009416184,0.99999707
Itgb1,-0.002575332,0.99999707
Pde1b,0.021036746,0.99999707
Igkv10-96,-0.012429949,0.99999707
Hmces,-0.069174059,0.99999707
Nol6,0.015916606,0.99999707
Ccdc28a,-0.021960054,0.99999707
Limd1,0.030285833,0.99999707
Zfp994,-0.057594669,0.99999707
Mff,0.083930771,0.99999707
Gm20705,0.097683574,0.99999707
Ctsb,-0.075518469,0.99999707
4930579G18Rik,0.019672057,0.99999707
Ushbp1,-0.094455505,0.99999707
Hist1h4f,-0.010223527,0.99999707
Agpat1,-0.065277498,0.99999707
Gm4152,0.146489646,0.894891038
Atxn2l,0.019377028,0.99999707
Gm9574,0.109877505,0.99999707
Rab18,0.076223623,0.99999707
Sumo3,-0.066740944,0.99999707
Zfp831,-0.014996425,0.99999707
Ndufaf8,-0.04944514,0.99999707
Nfat5,0.141721422,0.886741569
Gm12932,0.025787932,0.99999707
Pigc,-0.027701062,0.99999707
Gm7492,0.004855882,0.99999707
Gm8919,-0.00491593,0.99999707
Gm14541,0.025190555,0.99999707
Rars,-0.111817358,0.916760808
Gm26461,-0.012676873,0.99999707
Gm26847,0.012911261,0.99999707
Gm4017,-0.058452853,0.99999707
WI1-1203N12.2,0.017272837,0.99999707
Pus3,0.066864733,0.99999707
Gm9825,-0.130224996,0.979942677
9930111J21Rik2,-0.213880014,0.336625605
Gm5141,0.10303706,0.99999707
Morn2,0.092181097,0.939752716
Inpp4b,0.063900137,0.99999707
Gm7498,-0.016269021,0.99999707
Bag4,-0.161231731,0.494748752
Trim25,-0.053992859,0.99999707
Golph3l,-0.016965372,0.99999707
Gm8952,0.090279306,0.99999707
Pkdcc,-0.024425459,0.99999707
Atoh8,-0.15540625,0.389627958
Snord100,0.016552514,0.99999707
Gm12058,0.124416411,0.969200375
Platr10,0.021485405,0.99999707
Clec1b,0.033755399,0.99999707
Gpr157,-0.012564603,0.99999707
Gm44592,-0.006618421,0.99999707
Mon1a,0.117112619,0.99999707
Galk2,-0.05153947,0.99999707
Psrc1,0.114588674,0.99999707
Gm17136,0.020826369,0.99999707
Cnot11,0.083055931,0.99999707
M6pr,0.019715677,0.99999707
Gm26596,-0.108426522,0.905813662
Gm15645,0.029708929,0.99999707
Vmn2r-ps26,-0.01638277,0.99999707
Cldnd1,-0.025787205,0.99999707
Csnk1a1,0.042588969,0.99999707
Gins1,0.260363882,0.077550914
Gm9200,-0.028832425,0.99999707
Maneal,0.065428835,0.99999707
Dgke,0.020682019,0.99999707
Selenoo,-0.005647436,0.99999707
Pcdhga9,0.219165454,0.277140627
Sp3,-0.049479575,0.99999707
Ptprn,0.092453516,0.99999707
Nub1,-0.072224377,0.99999707
Ggh,0.014662667,0.99999707
Gm36931,0.066062789,0.99999707
Zbtb8os,-0.049400264,0.99999707
Slc19a1,-0.087642643,0.99999707
Fam43a,0.043962025,0.99999707
Gm9104,0.023906746,0.99999707
Fem1c,-0.029995288,0.99999707
Vps39,-0.017984628,0.99999707
Sh2d4a,-0.011578559,0.99999707
Exoc6,0.076202878,0.99999707
Slc23a3,0.026832978,0.99999707
Leng8,0.049334309,0.99999707
Palb2,-0.006462209,0.99999707
Trappc2l,-0.047695327,0.99999707
Psmb2,0.062934462,0.99999707
Pak1,-0.056108847,0.99999707
Nxf2,0.055562228,0.99999707
RP23-82F10.5,-0.007461153,0.99999707
Raph1,-0.048215082,0.99999707
Gm10293,-0.058140372,0.99999707
Ighv15-2,-0.002485874,0.99999707
Ggnbp2,-0.218550391,0.293024946
Atp6v0d2,-0.055769773,0.99999707
Gm43496,0.049531077,0.99999707
Kcnc3,-0.063955868,0.99999707
Gm8624,-0.043467829,0.99999707
Znhit1,-0.179735174,0.408379636
Usp21,0.006083989,0.99999707
1700001G11Rik,-0.003890071,0.99999707
Cga,0.07179498,0.99999707
Sdpr,-0.035365798,0.99999707
1700096K18Rik,-0.079054815,0.99999707
Dnlz,0.155283121,0.805158911
Gm43712,0.043867386,0.99999707
Uchl5,-0.010478591,0.99999707
Gm6136,-0.05406809,0.99999707
Snrnp48,0.024384797,0.99999707
Cct7,-0.104234128,0.99999707
Thap2,-0.019848554,0.99999707
Ankrd46,-0.015086587,0.99999707
Utp18,0.127605739,0.916760808
Gm37674,-0.012277577,0.99999707
Arid5b,0.216595084,0.30179109
Shfm1,-0.026784362,0.99999707
Syndig1l,-0.019719813,0.99999707
Sema3b,0.099462348,0.99999707
Gm25008,0.024020734,0.99999707
Gm16741,-0.073859089,0.99999707
Syne4,0.03460135,0.99999707
Ndufv2,0.034684951,0.99999707
Tekt2,0.076607124,0.99999707
Tspyl2,-0.034947885,0.99999707
Gm29630,-0.066285313,0.99999707
Ccdc85b,0.035765709,0.99999707
Atp10a,-0.042708131,0.99999707
Sos1,-0.011315493,0.99999707
Slc6a3,-0.221901582,0.367013097
Prr18,0.042844401,0.99999707
Arhgap32,-0.023818569,0.99999707
Ttc41,0.034142686,0.99999707
Dmtn,0.026144323,0.99999707
Zfp629,0.089724042,0.99999707
Gm37738,0.024912691,0.99999707
Aak1,-0.047538005,0.99999707
Ggt5,-0.022910477,0.99999707
Fam53c,-0.009808318,0.99999707
Ralgapa1,0.021176974,0.99999707
Snx8,0.041131886,0.99999707
Gm12123,0.124730743,0.99999707
Gm4895,-0.120428312,0.993834066
Usp24,-0.031419695,0.99999707
Btbd11,-0.025681083,0.99999707
Gm11520,-0.056642352,0.99999707
Mus81,-0.048153631,0.99999707
Cfap61,-0.006452828,0.99999707
Gm29797,0.004376578,0.99999707
Gm9022,0.031458661,0.99999707
Gm16568,-0.166771284,0.767603323
Gm15044,0.069185176,0.99999707
Cd52,0.047676961,0.99999707
Gm12257,0.02705325,0.99999707
Cmtr2,-0.044654968,0.99999707
Mamdc2,0.063916847,0.99999707
Gm12583,-0.080765869,0.99999707
Itpk1,0.041538122,0.99999707
Parp3,0.069033018,0.99999707
Gm13607,0.020869375,0.99999707
Cyhr1,0.003497004,0.99999707
Cat,0.033130243,0.99999707
Gm17828,-0.073056081,0.99999707
Efcab12,0.037909676,0.99999707
Acaca,-0.037811963,0.99999707
Lefty1,0.004070585,0.99999707
D930048N14Rik,0.040845649,0.99999707
Kdelc2,0.087109081,0.99999707
RP23-402F24.3,0.217555062,0.18413948
Xpnpep1,-0.079872533,0.99999707
Usp11,0.043373374,0.99999707
Kcp,0.17955623,0.445061274
Gm16383,0.004095076,0.99999707
Igkv4-70,-0.025798264,0.99999707
Xab2,0.056647044,0.99999707
Gm4482,0.162813717,0.800532668
Rnf144b,-0.000451651,0.99999707
Wdr93,-0.055481499,0.99999707
Fam234b,0.024769548,0.99999707
Gm43368,0.014954981,0.99999707
Rasl12,-0.065753422,0.99999707
Nek6,0.045605463,0.99999707
Pycr1,0.037155283,0.99999707
Ppp1ca,0.079162773,0.99999707
Usf2,0.017621148,0.99999707
Gm27373,0.03604771,0.99999707
Gm27005,-0.063861176,0.99999707
Ldha,-0.013555306,0.99999707
Mta3,0.013103605,0.99999707
Heca,0.004540683,0.99999707
Ehbp1,0.023960525,0.99999707
Zcrb1,0.021237483,0.99999707
Sycp3,-0.020820825,0.99999707
Gm45446,-0.182657718,0.638995091
Hsd17b11,0.024693902,0.99999707
Hn1,0.065188581,0.99999707
Psmb7-ps2,0.02845515,0.99999707
Pcdhga10,-0.02295289,0.99999707
Gm9888,-0.128873504,0.973780391
Usp49,0.037285951,0.99999707
Gm3608,0.034621546,0.99999707
Mir30e,0.091654879,0.99999707
Gm8816,0.088749044,0.99999707
Ppp1r11,-0.118917492,0.805158911
RP23-416I23.6,-0.02059161,0.99999707
Adcy7,-0.242062966,0.031981458
A630035G10Rik,-0.111246339,0.99999707
4921507P07Rik,0.090168236,0.99999707
Glrx3,-0.005033391,0.99999707
Fbxo43,0.197814576,0.17671783
Zfp746,-0.046130724,0.99999707
Abcb8,-0.06254681,0.99999707
Sox5,0.050148352,0.99999707
Exoc7,-0.020799879,0.99999707
Hist1h4m,0.053871556,0.99999707
Cacnb3,-0.018416007,0.99999707
AF357399,-0.063791892,0.99999707
Samm50,-0.092012427,0.99999707
Crlf3,-0.164498524,0.583920039
Gm15247,-0.275159756,0.031855541
Pam,-0.056624096,0.99999707
Klc2,0.115008072,0.891851681
Gm11830,0.061081364,0.99999707
Ctbp2,0.181344136,0.667173779
Klhl25,-0.004786063,0.99999707
Gm7443,0.040735452,0.99999707
Pram1,-0.05049871,0.99999707
Igkv1-135,0.015752921,0.99999707
Frg1,0.139711936,0.968459173
5730420D15Rik,-0.021787993,0.99999707
Syngr1,-0.012715695,0.99999707
Gm18959,-0.047898089,0.99999707
Rbbp6,0.070014507,0.99999707
Gm16038,0.04091193,0.99999707
Gm5869,-0.125948628,0.889914459
Fignl1,-0.047634544,0.99999707
AI987944,0.174876701,0.280537679
Ighv3-4,0.037509975,0.99999707
Esrp2,-0.024655087,0.99999707
Gm4705,-0.035254507,0.99999707
Ccdc184,-0.041085244,0.99999707
Gm25117,-0.089078911,0.708309292
E330020D12Rik,0.045601946,0.99999707
Myom3,0.03449547,0.99999707
Gm43268,-0.004217294,0.99999707
Tmod4,0.008029713,0.99999707
Nelfa,-0.031217377,0.99999707
Ston2,-0.064624421,0.99999707
Gm22043,-0.055425963,0.99999707
Ndufa13,-0.194728678,0.434957964
Hint3,-0.11067387,0.99999707
Gm26802,-0.021962096,0.99999707
Dmxl2,-0.049822681,0.99999707
Arid4b,-0.037458065,0.99999707
Gm18432,0.015711811,0.99999707
Gm28266,-0.053265466,0.99999707
Taf1b,-0.10738483,0.99999707
Ifrd1,0.005158789,0.99999707
Gm37215,-0.011241298,0.99999707
Mir6913,-0.052976054,0.99999707
Nt5c,0.119460181,0.99304022
Dcaf7,-0.043410644,0.99999707
Papolg,0.030431546,0.99999707
Gm5284,0.006726429,0.99999707
Prdx5,-0.018358153,0.99999707
Cnih4,0.02077273,0.99999707
1810026B05Rik,-0.270203402,0.108665066
AI182371,-0.062598546,0.99999707
Tmem138,-0.043281909,0.99999707
Gm43403,-0.248604586,0.164270237
Gm12992,-0.000951732,0.99999707
Tubb4b-ps1,-0.054898255,0.99999707
Ctsz,0.004648006,0.99999707
Cel,-0.047202281,0.99999707
Sptan1,-0.009179062,0.99999707
Car5a,-0.03031806,0.99999707
Gm14137,0.036872208,0.99999707
Slfn8,0.075722054,0.99999707
Gpalpp1,0.066688116,0.99999707
RP23-340G24.11,-0.060787668,0.99999707
Gm20430,-0.106759304,0.99999707
Ncstn,-0.059374198,0.99999707
Nifk,0.040045468,0.99999707
1700041G16Rik,-0.012243228,0.99999707
Wdfy3,-0.05703085,0.99999707
Gm8000,-0.05393071,0.99999707
Lrp6,-0.072178827,0.99999707
Gm25394,-0.054766712,0.99999707
Ints6l,-0.007173533,0.99999707
Atf4,0.039745909,0.99999707
Tmem81,0.060073859,0.99999707
Cnot3,-0.052208823,0.99999707
Itgal,0.091598211,0.99999707
1700030J22Rik,0.145746665,0.63091191
Mir1898,-0.024193628,0.99999707
Junb,0.029308165,0.99999707
Lman2,0.006335892,0.99999707
Polr2d,0.00945862,0.99999707
Tdg,-0.077245442,0.99999707
Gm14830,0.025756235,0.99999707
Ergic3,-0.023219991,0.99999707
Hsbp1,0.002409289,0.99999707
Tmem230,-0.135041389,0.695964497
Gm43949,-0.094163897,0.99999707
Gm11574,0.013635718,0.99999707
Gm42876,-0.02647718,0.99999707
6820402A03Rik,-0.055142508,0.99999707
Ahr,0.372053244,0.005100874
Cd7,0.13480975,0.653926698
Rims2,-0.041176282,0.99999707
Rttn,-0.020770418,0.99999707
Gm15408,-0.030722139,0.99999707
Mrvi1,0.179925442,0.389436278
Atrx,0.004382546,0.99999707
1110051M20Rik,0.016861068,0.99999707
Gata1,-0.003784441,0.99999707
RP23-72D18.1,-0.117530017,0.99999707
Mapkapk2,0.066093031,0.99999707
Pus7,-0.047143053,0.99999707
Trib1,0.039743693,0.99999707
Gm10913,0.014182025,0.99999707
1700020I14Rik,-0.041399164,0.99999707
Gm26642,-0.145393057,0.931367754
Ppp5c,0.042538657,0.99999707
Sgta,-0.126238841,0.868864991
Zfp933,0.087396958,0.993161117
Ptprv,0.079916759,0.99999707
Vmac,0.044443611,0.99999707
Ibsp,0.084977554,0.99999707
Pygo2,0.046457051,0.99999707
Kbtbd8,0.180051698,0.149006727
RP24-131G14.5,-0.032900276,0.99999707
Ssc4d,-0.030368593,0.99999707
Gm9225,0.064277897,0.99999707
Rps15a-ps6,-0.002054723,0.99999707
Higd2a,-0.09746078,0.99999707
Gm43560,0.104390493,0.99999707
RP23-88C11.5,0.031297944,0.99999707
Ahcyl1,0.031779787,0.99999707
Phldb3,0.030821878,0.99999707
Prg2,0.011082747,0.99999707
Srrm2,0.017837593,0.99999707
Cep70,0.050598864,0.99999707
Tmem184c,0.042981742,0.99999707
Elk1,0.040041037,0.99999707
Ccdc97,-0.005447105,0.99999707
U2af1,-0.065589637,0.99999707
Oas1c,-0.013447177,0.99999707
Gm36955,0.03695891,0.99999707
Gm9939,0.008805018,0.99999707
Gm44243,0.320268355,0.035156452
Gm42568,-0.011314028,0.99999707
Atpif1,-0.094030919,0.753296611
Zfp58,-0.01621679,0.99999707
2210408I21Rik,0.018013599,0.99999707
Micall2,-0.085186743,0.991204546
Cd300ld,0.01004101,0.99999707
Gm17190,0.032731804,0.99999707
Mical3,0.00850532,0.99999707
Gm28373,-0.04408812,0.99999707
Phf11d,0.073298996,0.99999707
Ttc37,0.094263232,0.99999707
Gm12479,0.291208811,0.056325788
Ighd1-1,0.014949952,0.99999707
Ptx3,0.042369031,0.99999707
Gm11957,-0.136883563,0.951901751
Gm38214,0.072858241,0.99999707
Gm45422,-0.206131066,0.413343296
Wdr74,0.131770352,0.99999707
Akr1a1,-0.183117882,0.541409985
C130036L24Rik,-0.046443669,0.99999707
1700020L24Rik,-0.039548491,0.99999707
Gm8493,-0.049826035,0.99999707
C4a,0.017585367,0.99999707
6330418K02Rik,-0.013659515,0.99999707
Mtfp1,0.221754912,0.376458331
Slc16a13,0.004874841,0.99999707
Zfp182,-0.039132201,0.99999707
Zfp959,-0.031289604,0.99999707
Gm45359,0.072238295,0.99999707
Arf1,0.01888642,0.99999707
A430110C17Rik,-0.023447932,0.99999707
Nolc1,-0.064735541,0.99999707
Gm28869,-0.056119259,0.99999707
Hid1,0.042460755,0.99999707
Adora2a,-0.043477523,0.99999707
Nipal4,-0.069034903,0.99999707
Gm5276,-0.095737372,0.99999707
Adra2c,-0.038979656,0.99999707
Smtn,0.042139287,0.99999707
Melk,-0.056102015,0.99999707
Gpatch1,0.033966787,0.99999707
Rrp9,0.080693903,0.959112161
Fuca1,-0.009736567,0.99999707
9930021J03Rik,-0.005839302,0.99999707
Magt1,0.053302442,0.99999707
Gtpbp10,0.086253931,0.974409862
Xxylt1,0.119150598,0.99999707
45180,0.144209109,0.795968172
Phf13,-0.109363035,0.99999707
Gm26742,0.018720753,0.99999707
Strn,0.006848316,0.99999707
Gm38111,0.038438429,0.99999707
Gm13340,0.031409425,0.99999707
Gm2885,-0.032393389,0.99999707
B4galnt2,0.052462341,0.99999707
Cxadr,-0.083244231,0.99999707
Mir3473g,-0.016753346,0.99999707
B130055M24Rik,0.098707276,0.99999707
Hoxa10,0.003091517,0.99999707
Rassf3,0.04086333,0.99999707
Baiap2l1,-0.028893275,0.99999707
Rfc1,-0.028313924,0.99999707
Gm23772,-0.037875955,0.99999707
RP23-423B21.1,-0.068383991,0.99999707
Gm37569,-0.066424429,0.99999707
Rhd,-0.002291158,0.99999707
Ano10,-0.013068176,0.99999707
Arpc1b,0.00653762,0.99999707
Pggt1b,-0.169075729,0.731198993
Tbxas1,-0.103372344,0.99999707
Lgals8,-0.069108193,0.99999707
Soat2,0.051634744,0.99999707
Gm44260,-0.008732044,0.99999707
BC085271,0.018990085,0.99999707
Gm24976,-0.115539279,0.951901751
00R_AC107638.2,-0.013425067,0.99999707
Rab5c,-0.103898877,0.99999707
Snord93,-0.079940207,0.99999707
Tnfrsf8,-0.105546881,0.99999707
Gm13328,0.141507802,0.906450989
Gm13622,0.133188868,0.790935245
Cd3g,-0.041760133,0.99999707
Skida1,-0.146994201,0.732341158
Abcc4,0.076192462,0.99999707
Gm27353,-0.061612678,0.99999707
Gal3st1,0.003624046,0.99999707
Rpl31-ps13,-0.084931095,0.99999707
E2f5,-0.03820189,0.99999707
Saysd1,-0.094852602,0.99999707
Mpzl3,-0.010279377,0.99999707
Cbx5,-0.015332156,0.99999707
Cyp2u1,-0.104790733,0.99999707
T2,-0.06512701,0.99999707
Lamb1,-0.132637439,0.823765899
6820431F20Rik,-0.063442117,0.99999707
Cnih1,0.073399649,0.99999707
Gm7069,0.132701092,0.894891038
Rsrc1,0.016076773,0.99999707
Insig1,-0.025970541,0.99999707
Mir3075,0.069431702,0.99999707
Zc2hc1b,0.172122842,0.710996303
Tmem242,0.034601865,0.99999707
Rp9,0.020598708,0.99999707
Gm26414,0.070912266,0.99999707
Gm37423,0.030071096,0.99999707
Gm10305,-0.021866159,0.99999707
Camsap1,-0.006002993,0.99999707
Orai2,-0.002711854,0.99999707
Ppat,0.049564264,0.99999707
Gm16156,-0.005692461,0.99999707
Gdf11,0.039285522,0.99999707
mt-Rnr1,0.009191654,0.99999707
5330417C22Rik,0.087015924,0.99999707
Pop1,-0.356910257,0.000435547
Slc38a7,-0.050560507,0.99999707
Igfbp5,0.005520636,0.99999707
Abi3,-0.003827173,0.99999707
Nemf,0.226205281,0.293024946
Zfp324,-0.061294572,0.99999707
Rab4a,-0.007628292,0.99999707
Tbx2,0.006801228,0.99999707
Sik1,-0.047978504,0.99999707
Gngt2,-0.093295158,0.99999707
Slc39a6,0.070300565,0.99999707
Rpl3,0.03183131,0.99999707
Prdx2-rs3,-0.050450772,0.99999707
Gm11983,0.028705495,0.99999707
Ano8,-0.064837664,0.99999707
Mmrn1,-0.043710378,0.99999707
Tmem258,-0.116855273,0.73724682
1110018N20Rik,0.087430634,0.99999707
Uqcc2,-0.007388149,0.99999707
Gm14017,-0.073435317,0.99999707
Etl4,0.003287035,0.99999707
Rpl27a-ps1,-0.0000674,0.99999707
Gm6689,-0.035704341,0.99999707
Kctd9,0.02280595,0.99999707
Gm43604,0.00748273,0.99999707
Ddx10,0.022363971,0.99999707
Zscan29,0.014828285,0.99999707
Mrps14,0.036958743,0.99999707
Ifi209,0.011469529,0.99999707
Atp6v0a1,-0.098767076,0.99999707
Gm12261,0.12347646,0.979942677
Noct,-0.000823969,0.99999707
Gm14143,0.007651739,0.99999707
Gm10044,0.036928551,0.99999707
Trip12,-0.091442511,0.99999707
Ggt1,0.146596343,0.753296611
Vps54,-0.05560419,0.99999707
Gm42743,-0.020850045,0.99999707
Gm12726,0.004587777,0.99999707
Igkv4-80,0.065093948,0.99999707
Exoc5,-0.096582747,0.99999707
Gm43290,0.026113152,0.99999707
Zdhhc1,-0.554163557,2.30E-09
Grin3b,-0.055023193,0.99999707
Nars,0.005138229,0.99999707
Zfp335,0.040536769,0.99999707
Gucy1a3,0.019365444,0.99999707
RP24-132F13.1,-0.019614667,0.99999707
Adam12,-0.011088466,0.99999707
1110004F10Rik,0.057180718,0.99999707
E2f1,-0.053995164,0.99999707
Gxylt1,0.029947852,0.99999707
Gm38305,0.058366889,0.99999707
Gm17518,-0.093911373,0.99999707
Lancl2,0.014420506,0.99999707
Zfp712,-0.031395121,0.99999707
Gm14491,-0.038307585,0.99999707
Gm22154,-0.106275529,0.99999707
0610009L18Rik,-0.017778072,0.99999707
Mir6979,-0.029951962,0.99999707
Engase,-0.053556084,0.99999707
Gm12693,-0.322759441,0.020437354
Gm8051,0.009911405,0.99999707
Stard9,0.052428699,0.99999707
Baz2b,0.135335617,0.980699013
Phf11b,0.022208546,0.99999707
Zranb1,-0.009876438,0.99999707
Rho,-0.002416665,0.99999707
Gm43054,-0.032501788,0.99999707
Pak4,0.052592838,0.99999707
Arhgap22,-0.00236521,0.99999707
Gm35931,-0.21830142,0.314809005
4930413G21Rik,-0.034876352,0.99999707
H60b,0.047300338,0.99999707
Nfia,0.151053414,0.568352854
Pcdh10,-0.004913704,0.99999707
Hagh,0.053326879,0.99999707
Nek3,0.014457703,0.99999707
Zswim1,0.167885375,0.615558873
Zfp619,0.035531195,0.99999707
Lmo1,0.025099615,0.99999707
Pcp4l1,-0.030037613,0.99999707
Ngrn,0.117572249,0.951901751
Patz1,-0.006039106,0.99999707
Pawr,-0.108801045,0.99999707
Zfp69,-0.070583897,0.99999707
B9d1,-0.013347603,0.99999707
Igkv4-55,0.068484391,0.99999707
Enkd1,0.217489374,0.083869743
Rnf41,0.127514673,0.975678505
RP23-356I16.2,-0.053780004,0.99999707
Gm17197,-0.091264489,0.99999707
Fam175b,0.006426328,0.99999707
Rras2,-0.046930173,0.99999707
Cpsf3l,-0.037370202,0.99999707
Ecm2,-0.010176094,0.99999707
Gm37062,0.163883526,0.788455413
Slc38a8,0.022318222,0.99999707
Gna12,0.051646951,0.99999707
Gm20628,-0.139913941,0.841492314
Gm5759,0.002713331,0.99999707
Rpusd3,-0.023055117,0.99999707
Mif-ps3,-0.041571317,0.99999707
Gm12755,0.071035796,0.99999707
Polh,0.01597811,0.99999707
Phyh,-0.046529314,0.99999707
P2ry14,0.098252149,0.99999707
Gm11672,-0.12654043,0.836462827
Rps15a-ps5,-0.002661994,0.99999707
Gm22574,-0.005562098,0.99999707
Bok,-0.085944927,0.99999707
Atp11b,-0.086054739,0.99999707
Prss12,0.010804306,0.99999707
Gga2,0.019335192,0.99999707
Bicd1,-0.036187773,0.99999707
Eogt,0.008026781,0.99999707
Gm45205,0.125499964,0.967650314
Gpt,0.046451862,0.99999707
Cnrip1,-0.024130737,0.99999707
Mgat1,-0.111715817,0.660251746
Gm7514,0.065249444,0.99999707
Eif3i,0.001653119,0.99999707
Pmel,-0.027932285,0.99999707
Sntb1,0.01892669,0.99999707
Gm17399,0.008753187,0.99999707
A630023P12Rik,0.059462589,0.99999707
Sptb,0.029161117,0.99999707
Gm5254,0.025301921,0.99999707
Gm14168,0.084221088,0.99999707
Fmr1os,0.018744644,0.99999707
Gm23413,-0.010488796,0.99999707
Mbnl3,0.051830661,0.99999707
Ift81,-0.098176409,0.99999707
Gm44609,-0.009650523,0.99999707
Gm28053,-0.005028874,0.99999707
Gm6587,0.017352917,0.99999707
AW046200,-0.052640235,0.99999707
Mir3058,0.055364118,0.99999707
RP23-104D6.2,0.023549988,0.99999707
Sap18b,0.026076533,0.99999707
Snord110,0.095501662,0.99999707
Gm6524,0.069958865,0.99999707
Stab2,0.039600738,0.99999707
Gm10537,-0.290701247,0.002163762
Slc16a4,-0.009458529,0.99999707
Rd3l,-0.01944744,0.99999707
Kif7,-0.025372348,0.99999707
2010015M23Rik,0.073024711,0.99999707
Gm24144,-0.112017456,0.99999707
Gm43125,-0.031090053,0.99999707
Polr3k,0.075508837,0.99999707
Kdm4a,0.017033935,0.99999707
Fam131a,0.077582686,0.99999707
Hist2h3b,-0.019785037,0.99999707
